"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ZJI","ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","-3,9215","17,0129","53,4425","50,7168","154,0662","517,4629","-"
"ZJB","ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","-5,2561","15,4791","49,3738","46,7852","147,0276","499,5940","-"
"IIE","İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","6,2753","14,8906","67,9636","66,2204","145,0292","-","-"
"DDF","DENİZ PORTFÖY DİNAMO SERBEST FON","Serbest Şemsiye Fonu","3,9361","14,5226","57,5448","54,7939","107,4312","383,4049","549,2265"
"NAU","NEO PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,4832","13,3071","40,7825","40,5384","100,1890","-","-"
"HAM","HEDEF PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,3244","14,2739","46,9720","41,1579","87,8920","-","-"
"RTP","RE-PIE PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","1,9947","13,4170","31,1205","28,0863","87,5266","666,0119","-"
"BIH","PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","6,0860","28,7612","37,7649","31,6311","83,3648","-","-"
"BDS","PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","3,7663","44,7962","59,2341","55,7011","80,7184","-","-"
"TCA","ZİRAAT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","0,2856","13,5824","39,9641","40,0817","80,0434","317,9123","971,2399"
"TMM","TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4028","6,1033","53,5187","53,1391","78,6870","-","-"
"RBA","ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,2300","14,0260","44,3658","44,3450","77,6093","288,0791","813,8997"
"NJF","NUROL PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,7830","14,4720","40,6650","40,1797","77,3365","320,0794","-"
"PAF","PARDUS PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","-1,6055","9,6297","35,9877","35,1600","74,5043","-","-"
"YKT","YAPI KREDİ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,2850","12,3064","37,8897","37,7463","74,3191","319,8984","946,5242"
"MKG","AKTİF PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","1,8262","14,6719","41,6242","40,1241","74,1065","337,3980","1.003,3409"
"FIB","FİBA PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,2826","13,2925","39,1202","39,0494","73,7128","296,8045","908,4137"
"HBF","HSBC PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,1142","14,8804","43,0181","42,6110","73,6213","295,0100","877,6117"
"TUA","TEB PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,2595","13,9270","39,8279","38,0085","73,5809","305,5397","920,0727"
"KZL","KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,4680","14,7033","42,3183","41,7424","73,3849","339,1446","989,6167"
"OJK","QNB PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,0367","13,4945","39,6753","38,7451","72,8257","316,8665","-"
"GGK","INVEO PORTFÖY ALTIN FON","Kıymetli Madenler Şemsiye Fonu","1,3929","12,3550","37,4163","36,3765","72,5640","341,4915","-"
"BDC","AURA PORTFÖY BODRUM SERBEST FON","Serbest Şemsiye Fonu","4,5058","41,3626","46,0379","41,7622","71,7984","514,6573","-"
"TAL","ATLAS PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","1,0258","13,7116","40,3584","40,1439","71,2418","-","-"
"DBA","DENİZ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,2114","12,4755","37,2503","37,9271","71,0508","302,3021","898,0015"
"RJG","RE-PIE PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,3721","13,4681","39,9254","39,3025","70,7033","-","-"
"RPG","ROTA PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","0,9245","14,3793","40,7913","40,7624","70,5993","257,2867","-"
"UP1","ÜNLÜ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,1165","11,5988","36,6064","35,2784","70,3473","-","-"
"ICA","ICBC TURKEY PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","0,5352","13,5317","38,9503","37,8397","70,0394","292,2374","868,3779"
"AFO","AK PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,2825","13,4058","39,4212","39,8368","69,7964","289,7922","879,3257"
"PKF","ATA PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,3480","13,6399","40,0975","39,2645","68,4869","-","-"
"OGD","OYAK PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,3320","12,8538","37,9130","37,5022","67,8420","286,6759","-"
"BVZ","BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON","Serbest Şemsiye Fonu","3,9800","12,5817","25,8544","24,8531","66,9498","-","-"
"HGV","HEDEF PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","9,6283","25,4963","37,5726","37,8813","66,5278","-","-"
"ZCD","ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON","Serbest Şemsiye Fonu","3,7377","9,2806","26,0165","21,1931","66,3292","-","-"
"TTA","İŞ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","2,0118","13,9026","32,2767","36,3133","65,8424","298,7593","901,9491"
"IJB","İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON","Karma Şemsiye Fonu","8,8448","21,2686","35,8062","34,2633","65,6210","249,0209","-"
"GOL","GARANTİ PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,4593","12,7947","37,8995","37,4079","65,5184","-","-"
"GTA","GARANTİ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,3741","13,6104","35,6905","38,7645","64,8997","280,7466","860,8377"
"KMF","AZİMUT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","1,5084","12,2441","38,3549","36,9911","64,2339","-","-"
"FDG","FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,6477","13,5705","28,7448","27,8115","62,3442","-","-"
"KSA","HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON","Serbest Şemsiye Fonu","4,0743","12,7450","26,3967","25,0371","62,2542","-","-"
"NJR","NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,8140","13,0323","25,5625","24,1857","62,0363","214,6364","-"
"HVK","HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","4,0231","12,6947","26,3210","25,0652","61,6258","223,2302","-"
